event_id,localization_index,trigger,persistent_flag
0,36,fresh_city_entered,0
1,37,fresh_city_modal_chain,1
2,38,fresh_city_modal_chain,2
3,39,first_construction_return,3
4,40,first_placement_committed,4
5,41,milestone_1,5
6,43,milestone_2,6
7,43,milestone_3,7
8,43,milestone_4,8
9,58,milestone_5,9
10,43,milestone_6,10
11,43,milestone_7,11
12,43,milestone_8,12
13,43,milestone_9,13
14,43,milestone_10,14
15,43,milestone_11,15
16,43,milestone_12,16
17,43,milestone_13,17
18,43,milestone_14,18
19,43,milestone_15,19
20,43,milestone_16,20
21,59,milestone_17,21
22,43,milestone_18,22
23,60,milestone_19,23
24,45,city_level_1,24
25,44,city_level_2,25
26,44,city_level_3,26
27,44,city_level_4,27
28,44,city_level_5,28
29,44,city_level_6,29
30,44,city_level_7,30
31,44,city_level_8,31
32,44,city_level_9,32
33,42,milestone_2_progress_line,33
34,47,building_unlock_commercial,34
35,49,building_unlock_office,35
36,50,building_unlock_luxury,36
37,48,commercial_neighbor_rule,37
38,46,construction_return_at_milestone_5,38
39,51,trophy_unlock_residential,39
40,51,trophy_unlock_commercial,40
41,51,trophy_unlock_office,41
42,51,trophy_unlock_luxury,42
43,52,milestone_20_final_level,43
44,53,all_25_sectors_full,44
45,54,after_parade_ultimate_goal,45
